date,Price,Volume
01/27/2020,8866.6,706450
01/26/2020,8607.8,468340
01/25/2020,8341.6,444000
01/24/2020,8439.9,617020
01/23/2020,8405.1,722670
01/22/2020,8678.5,509060
01/21/2020,8732.6,540200
01/20/2020,8641.9,599060
01/19/2020,8706.2,975010
01/18/2020,8916.3,627740
01/17/2020,8913.1,794110
01/16/2020,8726.9,748320
01/15/2020,8818.3,1170000
01/14/2020,8829.2,1480000
01/13/2020,8111.4,610660
01/12/2020,8187.6,595220
01/11/2020,8024.1,776750
01/10/2020,8187.1,1050000
01/09/2020,7842.4,786500
01/08/2020,8059.6,1190000
01/07/2020,8155.7,1010000
01/06/2020,7759.1,786750
01/05/2020,7372.5,628140
01/04/2020,7376.8,523910
01/03/2020,7343.1,936290
01/02/2020,6967,632780
01/01/2020,7199.8,420280
12/31/2019,7196.4,586600
12/30/2019,7261.8,606110
12/29/2019,7397.5,611690
12/28/2019,7321.5,610960
12/27/2019,7261.7,718070
12/26/2019,7210.9,795090
12/25/2019,7224.8,625410
12/24/2019,7268.3,785540
12/23/2019,7322.8,952160
12/22/2019,7495.8,677940
12/21/2019,7156.2,468740
12/20/2019,7196.4,627040
12/19/2019,7165.5,778720
12/18/2019,7276,1140000
12/17/2019,6613.3,894550
12/16/2019,6903.5,689560
12/15/2019,7128.5,492580
12/14/2019,7080.8,524560
12/13/2019,7255.2,503490
12/12/2019,7208,611800
12/11/2019,7208,518400
12/10/2019,7235.7,609500
12/09/2019,7355.8,648660
12/08/2019,7524.4,499040
12/07/2019,7510.9,557140
12/06/2019,7530.8,706100
12/05/2019,7399.2,780780
12/04/2019,7204.4,971750
12/03/2019,7291.8,548770
12/02/2019,7298.2,687780
12/01/2019,7396.4,777000
11/30/2019,7546.6,650600
11/29/2019,7742.7,766710
11/28/2019,7426.7,737580
11/27/2019,7510.6,996490
11/26/2019,7162.8,844270
11/25/2019,7115.6,1290000
11/24/2019,6924.7,904500
11/23/2019,7324.1,783180
11/22/2019,7272.5,1410000
11/21/2019,7627.9,891500
11/20/2019,8099.3,607270
11/19/2019,8145.7,654270
11/18/2019,8208.4,692600
11/17/2019,8509.8,531220
11/16/2019,8497.3,471160
11/15/2019,8476.3,653710
11/14/2019,8661.2,515430
11/13/2019,8783.1,454330
11/12/2019,8812.6,575160
11/11/2019,8736.9,601160
11/10/2019,9036.8,581570
11/09/2019,8804.5,512020
11/08/2019,8778.2,791790
11/07/2019,9223.5,603540
11/06/2019,9338.9,578030
11/05/2019,9310.8,653420
11/04/2019,9396.4,681010
11/03/2019,9198.3,536560
11/02/2019,9300.6,570740
11/01/2019,9230.1,689650
10/31/2019,9152.6,798930
10/30/2019,9157.9,789730
10/29/2019,9411.3,918480
10/28/2019,9207.2,1040000
10/27/2019,9529.6,1160000
10/26/2019,9230.6,1780000
10/25/2019,8658.3,1180000
10/24/2019,7422.7,586490
10/23/2019,7477,892080
10/22/2019,8031.4,570390
10/21/2019,8208.2,489400
10/20/2019,8223.4,513910
10/19/2019,7957.3,428830
10/18/2019,7948.5,505790
10/17/2019,8073.3,444950
10/16/2019,8000.4,538920
10/15/2019,8167.2,469730
10/14/2019,8353.3,505020
10/13/2019,8281.5,419870
10/12/2019,8304.4,424020
10/11/2019,8267.8,667860
10/10/2019,8562.3,511460
10/09/2019,8566.7,636430
10/08/2019,8182.9,469040
10/07/2019,8198.6,604740
10/06/2019,7881.9,448800
10/05/2019,8127.3,360920
10/04/2019,8148.1,416920
10/03/2019,8226.9,460970
10/02/2019,8364.1,405860
10/01/2019,8302.7,533950
09/30/2019,8284.3,600260
09/29/2019,8049.1,418480
09/28/2019,8208.5,457790
09/27/2019,8184.9,561400
09/26/2019,8063.8,731030
09/25/2019,8432.4,696110
09/24/2019,8513.9,933160
09/23/2019,9702.2,431100
09/22/2019,10031.6,337060
09/21/2019,9993,326170
09/20/2019,10172.7,362070
09/19/2019,10250.5,542250
09/18/2019,10164.7,318820
09/17/2019,10195.7,321640
09/16/2019,10255.5,372530
09/15/2019,10311.5,255790
09/14/2019,10337.3,326440
09/13/2019,10342.1,365520
09/12/2019,10415.1,413220
09/11/2019,10162.5,413060
09/10/2019,10105.4,383220
09/09/2019,10309,473760
09/08/2019,10402.8,339730
09/07/2019,10461.1,393570
09/06/2019,10309.3,643020
09/05/2019,10566.9,402090
09/04/2019,10568.2,504450
09/03/2019,10612.3,578790
09/02/2019,10348.8,542790
09/01/2019,9729.3,322660
08/31/2019,9594.4,311490
08/30/2019,9585.4,413920
08/29/2019,9491,509130
08/28/2019,9729.4,580290
08/27/2019,10184.8,419810
08/26/2019,10371.8,568770
08/25/2019,10136.3,422530
08/24/2019,10131,463850
08/23/2019,10388.7,436260
08/22/2019,10105,520750
08/21/2019,10141.5,717650
08/20/2019,10752.6,515470
08/19/2019,10910.7,519010
08/18/2019,10312.7,441110
08/17/2019,10218.1,497770
08/16/2019,10335.6,798670
08/15/2019,10303.4,930050
08/14/2019,10049.4,745590
08/13/2019,10892.9,540780
08/12/2019,11394.2,391080
08/11/2019,11517.2,435830
08/10/2019,11314.5,570740
08/09/2019,12089.8,558720
08/08/2019,12191.6,592150
08/07/2019,12013.9,702850
08/06/2019,11480.9,807580
08/05/2019,11816.8,769630
08/04/2019,10934.6,585710
08/03/2019,10815.7,508750
08/02/2019,10520.1,578290
08/01/2019,10380,608370
07/31/2019,10082,589840
07/30/2019,9580.7,511510
07/29/2019,9580.9,510900
07/28/2019,9727.8,518590
07/27/2019,9492.1,661890
07/26/2019,9831,493750
07/25/2019,9945.3,545850
07/24/2019,9804.3,639540
07/23/2019,9888.7,663380
07/22/2019,10412.5,591270
07/21/2019,10714.4,562170
07/20/2019,10826.7,668940
07/19/2019,10571.5,727790
07/18/2019,10651.4,974490
07/17/2019,9723.2,1030000
07/16/2019,9424.8,1050000
07/15/2019,10845.9,956520
07/14/2019,10200.1,840760
07/13/2019,11364.9,747710
07/12/2019,11762.1,738170
07/11/2019,11342.3,943130
07/10/2019,12110.6,1110000
07/09/2019,12541.5,847840
07/08/2019,12252.6,695600
07/07/2019,11415.9,601930
07/06/2019,11268,688960
07/05/2019,10970.2,772670
07/04/2019,11163.1,840340
07/03/2019,11900.8,998730
07/02/2019,10835.9,1120000
07/01/2019,10616.6,1040000
06/30/2019,10818.6,880770
06/29/2019,11906.5,834620
06/28/2019,12409.1,1090000
06/27/2019,11287.8,1590000
06/26/2019,13063.8,1480000
06/25/2019,11809.9,781090
06/24/2019,11046.4,566960
06/23/2019,10897.1,683790
06/22/2019,10721.7,1090000
06/21/2019,10179.3,769120
06/20/2019,9517,693620
06/19/2019,9255.4,587570
06/18/2019,9080.6,723170
06/17/2019,9318.8,738800
06/16/2019,8962.5,849770
06/15/2019,8812.5,608690
06/14/2019,8656.1,643170
06/13/2019,8219,574210
06/12/2019,8133.1,607890
06/11/2019,7888,579000
06/10/2019,7987.8,641380
06/09/2019,7635,554480
06/08/2019,7901.4,485810
06/07/2019,7985.2,588870
06/06/2019,7784.9,651820
06/05/2019,7779.1,762940
06/04/2019,7685.5,966950
06/03/2019,8124.8,739450
06/02/2019,8728.6,614540
06/01/2019,8545.7,686750
05/31/2019,8558.3,858410
05/30/2019,8271.9,1040000
05/29/2019,8647.8,15430000
05/28/2019,8716.3,763200
05/27/2019,8760.1,907960
05/26/2019,8630.2,872120
05/25/2019,8027.4,691270
05/24/2019,7970.1,868470
05/23/2019,7852.1,815140
05/22/2019,7635.7,821400
05/21/2019,7930.3,804880
05/20/2019,7965.3,958810
05/19/2019,8157.2,1080000
05/18/2019,7262.6,865530
05/17/2019,7359.5,1430000
05/16/2019,7871.8,1180000
05/15/2019,8164.6,1130000
05/14/2019,7994.6,1330000
05/13/2019,7806,1200000
05/12/2019,6984.8,1350000
05/11/2019,7190.3,1310000
05/10/2019,6386,907940
05/09/2019,6191.5,799960
05/08/2019,5990.3,757130
05/07/2019,5849.5,955880
05/06/2019,5745.1,755390
05/05/2019,5774.9,709020
05/04/2019,5830.9,920610
05/03/2019,5766.8,1040000
05/02/2019,5493.8,722230
05/01/2019,5384.2,623640
04/30/2019,5320.8,697420
04/29/2019,5235,775820
04/28/2019,5302.3,681410
04/27/2019,5265.9,833130
04/26/2019,5298.3,1030000
04/25/2019,5209.1,955360
04/24/2019,5415.6,994040
04/23/2019,5511.6,900000
04/22/2019,5346.7,920770
04/21/2019,5243.5,811410
04/20/2019,5290.2,782320
04/19/2019,5241,787090
04/18/2019,5264.7,727970
04/17/2019,5208.3,806520
04/16/2019,5180.9,631050
04/15/2019,5032.3,688200
04/14/2019,5134.8,566380
04/13/2019,5051.8,577160
04/12/2019,5054.2,779140
04/11/2019,5022.6,943490
04/10/2019,5307.8,837510
04/09/2019,5158.4,784620
04/08/2019,5245.2,928230
04/07/2019,5173.6,841270
04/06/2019,5046.2,952180
04/05/2019,5010.2,851720
04/04/2019,4902.4,1050000
04/03/2019,4968.7,13830000
04/02/2019,4859.3,14770000
04/01/2019,4145.1,3220000
03/31/2019,4102.3,2430000
03/30/2019,4111.8,2550000
03/29/2019,4102.2,3300000
03/28/2019,4025.6,2110000
03/27/2019,4041.7,2780000
03/26/2019,3942.8,2530000
03/25/2019,3937,2860000
03/24/2019,3994.7,2040000
03/23/2019,4002.5,2000000
03/22/2019,3990.4,2830000
03/21/2019,3982.2,3880000
03/20/2019,4041.2,3180000
03/19/2019,4017,2990000
03/18/2019,3990.2,2620000
03/17/2019,3981.5,1870000
03/16/2019,4006.4,3460000
03/15/2019,3924.3,3110000
03/14/2019,3879,2860000
03/13/2019,3865.1,2280000
03/12/2019,3886,2900000
03/11/2019,3870.3,3190000
03/10/2019,3915.2,1890000
03/09/2019,3944.3,2480000
03/08/2019,3865.9,2960000
03/07/2019,3875.1,2600000
03/06/2019,3863,2520000
03/05/2019,3857.2,3820000
03/04/2019,3715.9,2850000
03/03/2019,3809.5,1510000
03/02/2019,3823.1,1610000
03/01/2019,3821.9,1740000
02/28/2019,3816.6,2310000
02/27/2019,3814.6,2820000
02/26/2019,3810.3,2090000
02/25/2019,3833.7,765870
02/24/2019,3755.2,977780
02/23/2019,4120.4,727850
02/22/2019,3965.2,649550
02/21/2019,3936.6,668160
02/20/2019,3972.4,698010
02/19/2019,3914.3,1440000
02/18/2019,3896,933150
02/17/2019,3664.2,580510
02/16/2019,3616.8,485630
02/15/2019,3604.7,516210
02/14/2019,3592.6,498140
02/13/2019,3611.5,558020
02/12/2019,3632,545820
02/11/2019,3631.8,517280
02/10/2019,3679,501900
02/09/2019,3661.4,454800
02/08/2019,3661.7,699230
02/07/2019,3397.7,471360
02/06/2019,3404.3,514210
02/05/2019,3468.4,460950
02/04/2019,3462.8,503920
02/03/2019,3459.1,451660
02/02/2019,3502.5,443600
02/01/2019,3467.9,481580
01/31/2019,3437.2,477070
01/30/2019,3460,600250
01/29/2019,3414.8,585460
01/28/2019,3442.8,620850
01/27/2019,3555.6,464020
01/26/2019,3570.9,432550
01/25/2019,3572,448890
01/24/2019,3574.3,428600
01/23/2019,3561.5,445870
01/22/2019,3580.1,447700
01/21/2019,3536.7,394170
01/20/2019,3542.3,563310
01/19/2019,3677.8,537060
01/18/2019,3605.6,488160
01/17/2019,3626.4,525100
01/16/2019,3588,487340
01/15/2019,3571.3,544850
01/14/2019,3638.1,539930
01/13/2019,3490.2,452790
01/12/2019,3597.2,435060
