date,Price
06/03/2015 0:00,225.11
06/04/2015 0:00,222.37
06/05/2015 0:00,224.49
06/06/2015 0:00,224.36
06/07/2015 0:00,222.86
06/08/2015 0:00,228.11
06/09/2015 0:00,229.49
06/10/2015 0:00,227.51
06/11/2015 0:00,229.01
06/12/2015 0:00,229.61
6/13/2015 0:00,231.51
6/14/2015 0:00,231.77
6/15/2015 0:00,235.92
6/16/2015 0:00,248.75
6/17/2015 0:00,245.78
6/18/2015 0:00,248.09
6/19/2015 0:00,243.42
6/20/2015 0:00,244.69
6/21/2015 0:00,243.37
6/22/2015 0:00,247.09
6/23/2015 0:00,243.78
6/24/2015 0:00,240.69
6/25/2015 0:00,241.65
6/26/2015 0:00,243.2
6/27/2015 0:00,251.17
6/28/2015 0:00,248.9
6/29/2015 0:00,256.38
6/30/2015 0:00,264.13
07/01/2015 0:00,257.07
07/02/2015 0:00,254.69
07/03/2015 0:00,255.86
07/04/2015 0:00,260.74
07/05/2015 0:00,270.33
07/06/2015 0:00,269.47
07/07/2015 0:00,266.18
07/08/2015 0:00,269.39
07/09/2015 0:00,269.65
07/10/2015 0:00,286.61
07/11/2015 0:00,292.02
07/12/2015 0:00,310.24
7/13/2015 0:00,292
7/14/2015 0:00,287.96
7/15/2015 0:00,285.55
7/16/2015 0:00,277.23
7/17/2015 0:00,279.43
7/18/2015 0:00,276.73
7/19/2015 0:00,275.5
7/20/2015 0:00,277.73
7/21/2015 0:00,276.48
7/22/2015 0:00,277.93
7/23/2015 0:00,276.67
7/24/2015 0:00,289.96
7/25/2015 0:00,289.34
7/26/2015 0:00,292.84
7/27/2015 0:00,294.27
7/28/2015 0:00,293.84
7/29/2015 0:00,289.63
7/30/2015 0:00,287.73
7/31/2015 0:00,284.39
08/01/2015 0:00,280.77
08/02/2015 0:00,281.5
08/03/2015 0:00,282.72
08/04/2015 0:00,284.65
08/05/2015 0:00,281.99
08/06/2015 0:00,281.99
08/07/2015 0:00,279.01
08/08/2015 0:00,261.71
08/09/2015 0:00,265.36
08/10/2015 0:00,264.33
08/11/2015 0:00,270
08/12/2015 0:00,268.51
8/13/2015 0:00,264.65
8/14/2015 0:00,265.71
8/15/2015 0:00,261.03
8/16/2015 0:00,256.09
8/17/2015 0:00,256.66
8/18/2015 0:00,246
8/19/2015 0:00,227.1
8/20/2015 0:00,235.95
8/21/2015 0:00,233.27
8/22/2015 0:00,230.47
8/23/2015 0:00,228.47
8/24/2015 0:00,211.79
8/25/2015 0:00,221.64
8/26/2015 0:00,225.17
